"Ticker","Date/Time","Open","Close","High","Low"
"AMZN","2022-07-08","114.6","115.54","116.58","113.69"
"AMZN","2022-07-07","113.85","116.33","116.99","113.49"
"AMZN","2022-07-06","113.21","114.33","115.48","112.01"
"AMZN","2022-07-05","107.6","113.5","114.08","106.32"
"AMZN","2022-07-01","106.29","109.56","109.75","105.85"
"TSLA","2022-07-08","727.0","752.28998","764.94","723.47998"
"TSLA","2022-07-07","701.76001","733.63","736.09003","696.63"
"TSLA","2022-07-06","692.34003","695.20001","703.69","681.56"
"TSLA","2022-07-05","669.0","699.20001","699.44","648.5"
"TSLA","2022-07-01","681.0","681.78998","690.69","666.35999"
"F","2022-07-08","11.65","11.62","11.78","11.48"
"F","2022-07-07","11.33","11.65","11.72","11.33"
"F","2022-07-06","11.15","11.06","11.27","10.84"
"F","2022-07-05","11.05","11.2","11.21","10.61"
"F","2022-07-01","11.1","11.32","11.5","10.99"
